Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-GAS-[PJ],0.34962648355196707,0.0005,0.003,0.003,0.00288125,0.0027625,0.002525,0.0025
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_LD4C-GSL-[PJ],0.3261138828701485,0.0051205,0.012665000000000001,0.0153585,0.012167625,0.00897675,0.002595,0.0021
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-GAS-[PJ],0.019818435424086633,0.003,0.003,0.003,0.00288125,0.0027625,0.002525,0.0025
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_LD4T-MD-[PJ],0.031627035443179304,0.00045,0.00044249999999999997,0.000478,0.000601,0.000724,0.0009699999999999999,0.001
WEO2018_NPS_CLE_CH4b,NH3,ARGE_WHOL,Transport,liquid-fuel-plus-natural-gas,TRA_RD_M4-GSL-[PJ],0.11040683494356926,0.001,0.004391608,0.012623519,0.013217639,0.013811759,0.015,0.015
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agricultural Waste Burning,process,WASTE_AGR-NOF-[Mt],1.0,1.3,1.17,1.04,0.91,0.78,0.65,0.65
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_BEEF-OS-[M animals],0.22749080396947127,4.325392971,4.325392971,4.325392971,4.325392971,4.325392971,3.3340565336966277,3.3373350328257256
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_COWS-DL-[M animals],0.07650450537621858,16.72299009,16.72299009,16.72299009,16.72299009,16.72299009,11.954959486159005,11.361124241988401
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_OTANI-HO-[M animals],0.0017167731196286542,3.8857142860000002,3.8857142860000002,3.8857142860000002,3.8857142860000002,3.8857142860000002,2.920796985855681,2.8583867880211393
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Agriculture,process,AGR_OTANI-SH-[M animals],0.08666670636538872,0.34,0.34,0.34,0.34,0.34,0.2643983297817302,0.2829738315566625
