Species,Fuel,Sector,Region,2014
ALD2,solid-biofuel,ALD2_slv,IDZ,0.0
ALD2,solid-biofuel,ALD2_wst,USA,0.0
ALD2,solid-biofuel,ALD2_wst,CAN,0.0
ALD2,solid-biofuel,ALD2_wst,MEX,0.0
ALD2,solid-biofuel,ALD2_wst,JPN,0.0
ALD2,solid-biofuel,ALD2_wst,ANZ,0.0
ALD2,solid-biofuel,ALD2_wst,EUR,0.0
ALD2,solid-biofuel,ALD2_wst,ROE,0.0
ALD2,solid-biofuel,ALD2_wst,RUS,0.0
ALD2,solid-biofuel,ALD2_wst,ASI,0.0
ALD2,solid-biofuel,ALD2_wst,CHN,0.0
ALD2,solid-biofuel,ALD2_wst,IND,0.0
ALD2,solid-biofuel,ALD2_wst,BRA,0.0
ALD2,solid-biofuel,ALD2_wst,AFR,0.0
ALD2,solid-biofuel,ALD2_wst,MES,0.0
ALD2,solid-biofuel,ALD2_wst,LAM,0.0
ALD2,solid-biofuel,ALD2_wst,REA,0.0
ALD2,solid-biofuel,ALD2_wst,KOR,0.0
ALD2,solid-biofuel,ALD2_wst,IDZ,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,USA,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,CAN,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,MEX,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,JPN,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,ANZ,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,EUR,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,ROE,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,RUS,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,ASI,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,CHN,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,IND,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,BRA,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,AFR,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,MES,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,LAM,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,REA,0.0
ALD2,liquid-fuel-plus-natural-gas,ALD2_agr,KOR,0.0
